quote_date,paper,exch,open,high,low,close,volume,value
20140904,HEXA-B,Stockholm,231.40,233.00,229.60,232.40,404460,93631049
20140903,HEXA-B,Stockholm,229.00,232.30,228.30,231.00,435705,100500243
20140902,HEXA-B,Stockholm,227.10,230.30,227.10,227.80,418033,95539445
20140901,HEXA-B,Stockholm,228.20,228.70,226.50,227.30,362786,82445682
20140829,HEXA-B,Stockholm,229.90,230.40,227.40,228.60,424269,96933217
20140828,HEXA-B,Stockholm,232.20,232.30,228.20,228.20,499779,114641479
20140827,HEXA-B,Stockholm,231.90,232.40,230.80,232.40,377697,87513797
20140826,HEXA-B,Stockholm,232.80,233.30,231.30,232.30,403361,93694619
20140825,HEXA-B,Stockholm,231.50,233.20,231.10,232.60,243577,56502043
20140822,HEXA-B,Stockholm,231.10,231.80,229.50,230.00,321871,74080357
20140821,HEXA-B,Stockholm,230.50,231.80,229.90,231.00,356249,82242880
20140820,HEXA-B,Stockholm,230.00,230.80,228.70,229.90,382149,87809344
20140819,HEXA-B,Stockholm,232.10,233.00,229.70,230.30,471583,108751073
20140818,HEXA-B,Stockholm,228.00,232.50,228.00,230.90,774369,178515334
20140815,HEXA-B,Stockholm,225.10,228.00,224.70,225.60,697662,157857383
20140814,HEXA-B,Stockholm,223.20,224.90,223.20,224.60,324510,72718489
20140813,HEXA-B,Stockholm,222.50,225.00,220.50,225.00,475924,106132341
20140812,HEXA-B,Stockholm,220.90,221.90,219.00,221.90,422770,93370206
20140811,HEXA-B,Stockholm,217.80,222.50,217.80,220.10,664180,146235464
20140808,HEXA-B,Stockholm,213.70,214.40,210.60,214.10,498412,106069126
20140807,HEXA-B,Stockholm,213.70,219.40,212.60,213.90,551198,119075836
20140806,HEXA-B,Stockholm,211.60,214.00,208.30,211.60,576368,121589221
20140805,HEXA-B,Stockholm,211.40,212.70,210.30,211.70,256162,54172723
20140804,HEXA-B,Stockholm,212.90,215.00,211.40,211.70,320931,68292537
20140801,HEXA-B,Stockholm,214.10,215.30,209.80,212.90,336938,71501564
20140731,HEXA-B,Stockholm,217.10,217.80,212.60,214.50,319434,68351389
20140730,HEXA-B,Stockholm,218.10,219.00,215.40,216.40,267697,58030799
20140729,HEXA-B,Stockholm,217.40,219.90,214.70,219.20,202765,44240834
20140728,HEXA-B,Stockholm,219.40,220.90,216.50,217.30,182923,39833519
20140725,HEXA-B,Stockholm,220.20,221.90,218.20,219.30,287145,63224885
20140724,HEXA-B,Stockholm,217.40,220.90,217.30,220.30,230608,50737553
20140723,HEXA-B,Stockholm,217.90,219.90,216.70,217.90,246546,53691511
20140722,HEXA-B,Stockholm,215.90,218.60,215.90,218.00,278343,60592442
20140721,HEXA-B,Stockholm,217.80,217.80,213.50,215.40,295588,63637152
20140718,HEXA-B,Stockholm,214.10,216.50,212.80,215.80,260596,56019370
20140717,HEXA-B,Stockholm,215.00,217.30,214.20,215.50,310605,67118381
20140716,HEXA-B,Stockholm,214.30,216.90,214.30,215.20,340548,73475066
20140715,HEXA-B,Stockholm,218.30,219.00,213.30,214.00,342328,73585000
