quote_date,paper,exch,open,high,low,close,volume,value
20140828,KLED,Stockholm,48.10,48.30,47.30,47.60,129768,6181449
20140827,KLED,Stockholm,47.50,48.40,47.40,48.40,222522,10672886
20140826,KLED,Stockholm,47.60,47.90,47.10,47.60,205165,9754010
20140825,KLED,Stockholm,48.00,48.20,47.50,48.00,97793,4681480
20140822,KLED,Stockholm,48.20,48.40,47.40,48.00,247529,11867209
20140821,KLED,Stockholm,48.60,49.00,48.20,48.40,139115,6754107
20140820,KLED,Stockholm,48.60,48.90,48.30,48.50,108973,5286891
20140819,KLED,Stockholm,48.50,49.40,48.30,48.60,213940,10448866
20140818,KLED,Stockholm,47.00,48.40,46.50,48.40,191407,9134622
20140815,KLED,Stockholm,46.50,46.90,45.70,46.40,423540,19613058
20140814,KLED,Stockholm,47.70,48.00,47.20,47.40,223906,10673406
20140813,KLED,Stockholm,48.00,49.00,47.50,47.70,159531,7627161
20140812,KLED,Stockholm,48.00,48.20,47.30,47.90,163337,7815635
20140811,KLED,Stockholm,46.40,48.20,46.40,48.00,173777,8241379
20140808,KLED,Stockholm,45.30,46.60,45.20,45.80,201652,9259414
20140807,KLED,Stockholm,46.30,46.70,45.70,45.90,162681,7493864
20140806,KLED,Stockholm,47.20,47.20,46.00,46.30,150964,7015639
20140805,KLED,Stockholm,47.50,48.20,47.40,47.40,141360,6749186
20140804,KLED,Stockholm,47.80,48.30,47.30,47.50,144898,6903534
20140801,KLED,Stockholm,48.60,48.80,47.30,47.80,138254,6628278
20140731,KLED,Stockholm,49.80,49.80,48.40,48.50,272344,13355851
20140730,KLED,Stockholm,50.00,50.25,49.20,49.80,175431,8739989
20140729,KLED,Stockholm,50.00,50.50,50.00,50.25,149889,7518315
20140728,KLED,Stockholm,50.50,50.75,50.00,50.25,116115,5831228
20140725,KLED,Stockholm,50.25,50.75,50.00,50.25,98964,4980936
20140724,KLED,Stockholm,50.25,51.00,50.25,50.50,126001,6375068
20140723,KLED,Stockholm,49.90,51.00,49.90,50.25,189888,9551213
20140722,KLED,Stockholm,50.25,50.50,49.50,49.80,123347,6163271
20140721,KLED,Stockholm,50.75,50.75,50.00,50.00,153310,7710977
20140718,KLED,Stockholm,50.25,51.00,50.25,51.00,155917,7885020
20140717,KLED,Stockholm,51.00,51.25,50.50,50.50,134298,6824385
20140716,KLED,Stockholm,51.25,51.75,51.00,51.25,106349,5460510
20140715,KLED,Stockholm,51.75,52.00,50.75,51.00,240423,12279039
20140714,KLED,Stockholm,51.50,52.25,51.00,51.75,112301,5818842
20140711,KLED,Stockholm,51.75,51.75,51.00,51.50,138674,7108535
20140710,KLED,Stockholm,51.50,52.00,50.75,51.50,241149,12391437
20140709,KLED,Stockholm,51.75,52.00,51.50,51.50,83557,4317158
20140708,KLED,Stockholm,52.50,52.50,51.50,51.50,109251,5670172
20140707,KLED,Stockholm,53.00,53.00,52.00,52.25,92651,4840484
20140704,KLED,Stockholm,52.75,53.50,52.50,52.75,112450,5977885
20140703,KLED,Stockholm,51.75,53.50,51.25,52.75,400457,21064925
20140702,KLED,Stockholm,50.75,51.50,50.75,51.50,117073,5995682
20140701,KLED,Stockholm,50.50,51.00,50.50,50.75,124037,6295969
20140630,KLED,Stockholm,51.25,52.00,50.25,50.25,330941,16731911
20140627,KLED,Stockholm,52.50,52.75,51.25,51.25,134445,6925931
20140626,KLED,Stockholm,52.00,52.50,52.00,52.25,146199,7644174
20140625,KLED,Stockholm,52.50,52.50,51.50,52.25,136896,7127794
20140624,KLED,Stockholm,51.75,52.75,51.75,52.75,180535,9440022
20140623,KLED,Stockholm,50.75,51.75,50.50,51.75,224676,11524516
20140619,KLED,Stockholm,51.00,51.50,50.25,50.75,783611,39699520
20140618,KLED,Stockholm,51.00,51.50,50.25,50.75,411425,20940958
20140617,KLED,Stockholm,49.10,51.50,49.10,51.00,468637,23795720
20140616,KLED,Stockholm,50.00,50.25,48.60,49.10,328240,16196085
20140613,KLED,Stockholm,52.25,52.25,49.60,50.50,401382,20327071
20140612,KLED,Stockholm,53.00,53.25,52.00,52.00,400885,21047861
20140611,KLED,Stockholm,54.50,54.50,53.00,53.25,198641,10619386
20140610,KLED,Stockholm,55.00,55.50,53.00,54.50,510353,27976754
20140609,KLED,Stockholm,53.75,55.00,53.75,55.00,169889,9274856
20140605,KLED,Stockholm,53.25,54.00,53.00,53.50,258421,13863386
20140604,KLED,Stockholm,52.75,53.25,52.25,53.25,240454,12686427
20140603,KLED,Stockholm,54.00,54.25,52.75,52.75,279884,14862830
20140602,KLED,Stockholm,52.50,54.50,52.00,53.75,281156,14963253
20140530,KLED,Stockholm,53.25,53.25,52.25,52.25,236802,12418101
20140528,KLED,Stockholm,53.50,53.50,53.00,53.00,121114,6439327
20140527,KLED,Stockholm,52.25,54.25,52.00,53.50,333648,17780462
20140526,KLED,Stockholm,53.25,53.75,52.25,52.50,132194,6998675
20140523,KLED,Stockholm,53.00,53.50,52.75,53.25,223626,11864167
20140522,KLED,Stockholm,51.50,53.00,51.50,53.00,238934,12508520
20140521,KLED,Stockholm,51.75,52.00,50.75,51.50,144144,7421791
20140520,KLED,Stockholm,52.75,53.00,51.75,51.75,124763,6499989
20140519,KLED,Stockholm,51.25,53.00,51.25,52.50,194556,10125574
20140516,KLED,Stockholm,52.25,52.75,51.00,51.25,233395,12069970
20140515,KLED,Stockholm,53.50,54.00,52.00,52.00,565609,29769988
20140514,KLED,Stockholm,54.25,54.50,53.25,53.50,258925,13901552
20140513,KLED,Stockholm,54.25,55.00,54.00,54.25,136710,7429978
20140512,KLED,Stockholm,53.75,54.50,53.75,54.25,142937,7746352
20140509,KLED,Stockholm,54.00,54.25,53.50,53.50,205068,11041798
20140508,KLED,Stockholm,53.75,54.50,53.25,54.00,420965,22721803
20140507,KLED,Stockholm,53.25,53.75,53.00,53.50,156123,8344168
20140506,KLED,Stockholm,53.00,53.50,52.75,53.25,143767,7648770
20140505,KLED,Stockholm,52.50,53.75,52.50,52.75,126079,6672733
20140502,KLED,Stockholm,53.00,53.50,52.50,52.75,156274,8276015
20140430,KLED,Stockholm,53.50,53.50,52.75,53.00,166060,8806678
20140429,KLED,Stockholm,53.50,54.00,53.25,54.00,180946,9697397
20140428,KLED,Stockholm,53.25,53.50,53.00,53.50,230554,12284888
20140425,KLED,Stockholm,53.00,53.75,52.50,53.75,157629,8396686
20140424,KLED,Stockholm,53.25,53.75,53.00,53.25,185289,9879296
20140423,KLED,Stockholm,52.75,53.25,52.50,52.75,262455,13859471
20140422,KLED,Stockholm,50.75,52.75,50.75,52.50,209824,10970099
20140417,KLED,Stockholm,50.50,50.75,50.25,50.75,41021,2073901
20140416,KLED,Stockholm,49.60,50.50,49.60,50.50,184344,9275174
20140415,KLED,Stockholm,50.00,50.25,49.30,49.40,171036,8499649
20140414,KLED,Stockholm,50.00,50.25,49.20,50.25,150290,7481420
20140411,KLED,Stockholm,51.25,51.50,50.00,50.00,490483,24722616
20140410,KLED,Stockholm,51.25,52.00,51.25,51.75,274108,14159505
20140409,KLED,Stockholm,51.50,51.50,51.00,51.25,127881,6535507
20140408,KLED,Stockholm,51.50,51.50,50.75,51.25,165470,8435111
20140407,KLED,Stockholm,51.00,51.50,50.50,51.50,159412,8130557
20140404,KLED,Stockholm,51.00,51.75,50.75,51.25,247296,12676634
20140403,KLED,Stockholm,51.50,51.50,50.00,51.00,332545,16888656
20140402,KLED,Stockholm,50.25,51.75,50.25,51.50,318917,16237929
20140401,KLED,Stockholm,53.50,54.00,48.60,50.25,1098775,56133455
20140331,KLED,Stockholm,53.00,53.50,52.75,53.50,105467,5609311
